exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
GMO,BTC_JPY,17562290,0.02000000,17567993,0.02000000,2025-07-16T07:08:05.866583Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17567802,0.02000000,2025-07-16T07:08:05.888447Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.953192Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17568053,0.00600000,2025-07-16T07:08:06.026184Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17568053,0.00600000,2025-07-16T07:08:06.130509Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:06.229213Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17568053,0.00600000,2025-07-16T07:08:06.257889Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:06.329046Z
GMO,BTC_JPY,17562307,0.00500000,17567954,0.03000000,2025-07-16T07:08:06.371529Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17568053,0.00600000,2025-07-16T07:08:06.400169Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:06.443428Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17566958,0.05116012,2025-07-16T07:08:06.507939Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:06.564581Z
BITFLYER,FX_BTC_JPY,17563925,0.03000000,17566958,0.05116012,2025-07-16T07:08:06.605038Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17566958,0.05116012,2025-07-16T07:08:06.707807Z
GMO,BTC_JPY,17562324,0.00500000,17567746,0.03000000,2025-07-16T07:08:06.880219Z
GMO,BTC_JPY,17562324,0.00500000,17567746,0.03000000,2025-07-16T07:08:06.889258Z
BITFLYER,FX_BTC_JPY,17563926,0.00100000,17566911,0.00133000,2025-07-16T07:08:06.889295Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:06.905640Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:06.911384Z
BITFLYER,FX_BTC_JPY,17563970,0.03000000,17566911,0.00133000,2025-07-16T07:08:07.029573Z
BITFLYER,FX_BTC_JPY,17563926,0.00100000,17566911,0.00133000,2025-07-16T07:08:07.130274Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:07.171651Z
BITFLYER,FX_BTC_JPY,17563926,0.00100000,17566911,0.00133000,2025-07-16T07:08:07.238398Z
BITFLYER,BTC_JPY,17588022,0.00400500,17589882,0.03500000,2025-07-16T07:08:07.318189Z
GMO,BTC_JPY,17563479,0.02000000,17567297,0.02000000,2025-07-16T07:08:07.379335Z
