exchange,symbol,ts,bid1,bid1vol,bid2,bid2vol,bid3,bid3vol,bid4,bid4vol,bid5,bid5vol,bid6,bid6vol,bid7,bid7vol,bid8,bid8vol,ask1,ask1vol,ask2,ask2vol,ask3,ask3vol,ask4,ask4vol,ask5,ask5vol,ask6,ask6vol,ask7,ask7vol,ask8,ask8vol
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.717930Z,17568640,0.01000000,17568249,0.01000000,17566956,0.05204175,17566240,0.00728936,17566205,0.02000000,17566197,0.04900000,17566189,0.06399297,17566188,0.05000000,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570878,0.05789679,17570881,0.03084597,17570889,0.09600703,17571177,0.01900000,17571235,0.03100000
GMO,BTC_JPY,2025-07-16T05:19:16.717965Z,17562846,0.00500000,17562837,0.00100000,17562836,0.01000000,17562835,0.02000000,17561694,0.02000000,17561176,0.01000000,17561169,0.04700000,17560844,0.02000000,17568142,0.01000000,17568389,0.02000000,17568398,0.02000000,17568639,0.00100000,17569176,0.00300000,17569277,0.02000000,17570407,0.02000000,17570826,0.00100000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.843499Z,17568640,0.01000000,17568249,0.01000000,17566956,0.05204175,17566269,0.01001279,17566240,0.01093396,17566197,0.04900000,17566189,0.06399297,17566188,0.05000000,17570549,0.00699000,17570555,0.12289705,17570556,0.05063865,17570871,0.01000000,17570881,0.03084597,17570889,0.09600703,17571177,0.01900000,17571235,0.03100000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.843669Z,17581848,0.00130462,17580257,0.03716886,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17575300,0.00569770,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879,17588197,0.05000000
GMO,BTC,2025-07-16T05:19:16.913856Z,17588040,0.03000000,17585973,0.00500000,17584994,0.38617000,17584336,0.03521000,17584335,0.05000000,17580028,0.03000000,17576659,0.00300000,17576646,0.02700000,17589337,0.01900000,17589338,0.02000000,17589664,0.05000000,17590129,0.03000000,17590140,0.50000000,17590930,0.50000000,17591305,0.02100000,17593263,0.01479000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.941537Z,17568249,0.01000000,17566956,0.05204175,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17566197,0.04900000,17566189,0.06399297,17566188,0.05000000,17570549,0.00699000,17570555,0.12289705,17570556,0.05063865,17570871,0.01000000,17570881,0.03084597,17570889,0.09600703,17571177,0.01900000,17571235,0.03100000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.974252Z,17581848,0.00130462,17580176,0.03385220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17575300,0.00569770,17586294,0.02000000,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.052093Z,17568249,0.01000000,17566956,0.05204175,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17566197,0.04900000,17566189,0.06399297,17566188,0.05000000,17570548,0.05000000,17570549,0.00699000,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703,17571177,0.01900000,17571235,0.03100000
BITFLYER,BTC_JPY,2025-07-16T05:19:17.083048Z,17581848,0.00130462,17580176,0.03385220,17579801,0.03940299,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586294,0.02000000,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.161701Z,17568249,0.01000000,17566956,0.05204175,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17566197,0.04900000,17566188,0.05000000,17565787,0.05000000,17570140,0.00561071,17570548,0.10789705,17570549,0.03783597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703,17571018,0.02000000
