exchange,symbol,trade_id,price,size,side,timestamp,created_at
BITFLYER,BTC_JPY,BITFLYER-2609086474,17555924,0.01000000,BUY,2025-07-16T06:15:41.522410600Z,2025-07-16T06:15:41.581465
BITFLYER,BTC_JPY,BITFLYER-2609086480,17555918,0.01026770,BUY,2025-07-16T06:15:42.375856900Z,2025-07-16T06:15:42.399593
GMO,BTC,GMO-1752646544849,17561851,0.00110000,BUY,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.850242
GMO,BTC,GMO-1752646544850,17561851,0.00110000,SELL,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.850463
GMO,BTC,GMO-1752646544850,17561851,0.00100000,BUY,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.850713
GMO,BTC,GMO-1752646544850,17561851,0.00100000,SELL,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.850980
GMO,BTC,GMO-1752646544851,17561852,0.00010000,BUY,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.851173
GMO,BTC,GMO-1752646544851,17561852,0.00010000,SELL,2025-07-16T06:15:44.880Z,2025-07-16T06:15:44.851346
BITFLYER,BTC_JPY,BITFLYER-2609086486,17555902,0.00615000,SELL,2025-07-16T06:15:46.182485800Z,2025-07-16T06:15:46.204018
BITFLYER,BTC_JPY,BITFLYER-2609086488,17555902,0.00385000,SELL,2025-07-16T06:15:46.343649400Z,2025-07-16T06:15:46.363938
BITFLYER,BTC_JPY,BITFLYER-2609086490,17556191,0.01286850,BUY,2025-07-16T06:15:47.840775300Z,2025-07-16T06:15:47.922177
BITFLYER,BTC_JPY,BITFLYER-2609086495,17556179,0.01000000,SELL,2025-07-16T06:15:50.600165900Z,2025-07-16T06:15:50.641093
BITFLYER,FX_BTC_JPY,BITFLYER-2609084284,17535082,0.00100000,SELL,2025-07-16T06:15:51.011792100Z,2025-07-16T06:15:51.020501
GMO,BTC,GMO-1752646551844,17561899,0.00130000,BUY,2025-07-16T06:15:51.875Z,2025-07-16T06:15:51.844857
GMO,BTC,GMO-1752646551845,17561899,0.00130000,SELL,2025-07-16T06:15:51.875Z,2025-07-16T06:15:51.845883
BITFLYER,FX_BTC_JPY,BITFLYER-2609084285,17535125,0.06105480,SELL,2025-07-16T06:15:52.418805900Z,2025-07-16T06:15:52.419310
BITFLYER,FX_BTC_JPY,BITFLYER-2609084286,17535256,0.00100000,BUY,2025-07-16T06:15:52.578256800Z,2025-07-16T06:15:52.578734
BITFLYER,FX_BTC_JPY,BITFLYER-2609084287,17535257,0.04000000,BUY,2025-07-16T06:15:52.578256800Z,2025-07-16T06:15:52.578791
GMO,BTC_JPY,GMO-1752646552914,17531587,0.02000000,SELL,2025-07-16T06:15:52.873Z,2025-07-16T06:15:52.914538
GMO,BTC_JPY,GMO-1752646552914,17531587,0.02000000,BUY,2025-07-16T06:15:52.873Z,2025-07-16T06:15:52.914727
BITFLYER,FX_BTC_JPY,BITFLYER-2609084288,17533852,0.00100000,SELL,2025-07-16T06:15:53.408190700Z,2025-07-16T06:15:53.399551
BITFLYER,FX_BTC_JPY,BITFLYER-2609084289,17533851,0.01200000,SELL,2025-07-16T06:15:53.408190700Z,2025-07-16T06:15:53.399685
BITFLYER,FX_BTC_JPY,BITFLYER-2609084290,17533766,0.00700000,SELL,2025-07-16T06:15:53.408190700Z,2025-07-16T06:15:53.399793
